Name,Value. Adaptability,Value. All Around Friendliness,Value. Exercise Needs,Value. Health Grooming,Value. Trainability,Value.Adapts Well to Apartment Living,Value.Affectionate with Family,Value.Amount Of Shedding,Value.Dog Friendly,Value.Drooling Potential,Value.Easy To Groom,Value.Easy To Train,Value.Energy Level,Value.Exercise Needs,Value.Friendly Toward Strangers,Value.General Health,Value.Good For Novice Owners,Value.Incredibly Kid Friendly Dogs,Value.Intelligence,Value.Intensity,Value.Potential For Mouthiness,Value.Potential For Playfulness,Value.Potential For Weight Gain,Value.Prey Drive,Value.Sensitivity Level,Value.Size,Value.Tendency To Bark Or Howl,Value.Tolerates Being Alone,Value.Tolerates Cold Weather,Value.Tolerates Hot Weather,Value.Wanderlust Potential
Harrier,3,5,5,3,4,1,4,3,5,1,5,2,5,5,5,5,3,5,4,4,3,5,3,4,2,3,4,3,3,4,5
Havanese,4,5,3,2,3,5,5,2,5,1,1,5,3,3,5,3,5,4,4,2,3,5,4,4,4,2,2,1,3,4,2
Ibizan Hound,3,5,5,3,4,5,5,3,5,1,5,3,5,5,4,4,3,5,4,3,3,5,1,5,4,3,2,2,1,4,5
Icelandic Sheepdog,3,3,4,3,3,1,4,5,2,1,1,3,4,4,2,3,1,4,4,5,3,4,3,4,3,3,1,2,5,3,4
Irish Red and White Setter,3,4,5,2,4,1,5,3,4,1,3,4,5,5,4,2,3,4,4,5,4,5,2,3,4,3,3,1,4,3,4
Irish Setter,3,5,5,3,5,1,5,4,5,2,3,4,5,5,5,2,3,5,5,3,5,5,3,5,4,4,4,2,4,3,5
Irish Terrier,3,4,5,3,3,3,5,4,1,1,2,1,5,4,3,5,2,5,4,4,1,5,3,2,3,3,4,2,4,4,3
Irish Water Spaniel,3,5,4,2,4,3,5,1,4,2,3,5,5,5,5,2,2,5,4,3,3,4,3,5,4,3,4,3,4,4,3
Irish Wolfhound,2,5,3,3,3,1,5,3,5,1,3,3,2,4,5,1,2,5,4,2,3,4,3,5,3,5,1,2,4,2,3
Italian Greyhound,3,5,4,3,4,5,5,2,4,1,5,3,4,4,4,3,5,5,3,2,4,4,2,5,5,2,3,1,1,3,3
Jack Russell Terrier,3,5,5,3,4,3,5,3,5,1,3,4,5,5,4,4,2,4,5,5,4,5,4,5,3,2,4,3,4,3,4
Japanese Chin,3,3,2,2,3,5,3,3,3,1,3,3,2,2,4,3,4,3,3,1,4,4,3,3,3,1,3,1,3,2,1
Japanese Spitz,3,4,3,3,3,4,4,3,4,1,4,4,3,3,2,3,4,5,4,2,2,4,2,2,3,2,4,2,4,3,2
Karelian Bear Dog,3,3,4,3,4,2,4,3,1,1,4,2,4,4,2,4,1,3,4,5,4,4,2,5,4,3,4,2,5,3,5
Keeshond,4,5,4,3,3,4,5,5,4,1,3,4,4,3,4,3,4,5,4,3,3,5,4,3,5,3,4,1,5,3,2
Kerry Blue Terrier,3,4,4,2,4,3,4,1,2,1,2,4,4,5,5,3,2,4,4,4,4,4,3,3,3,3,4,3,4,3,3
Komondor,3,3,3,3,4,2,5,3,1,2,2,4,2,4,1,2,1,3,4,1,3,4,3,2,4,4,5,1,4,3,4
Kooikerhondje,3,2,5,3,3,4,3,3,2,1,2,1,4,5,2,5,3,2,4,5,3,4,3,3,4,3,3,2,4,3,3
Korean Jindo Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuvasz,3,2,4,4,2,1,5,4,2,3,4,2,4,5,1,4,1,1,4,4,1,4,4,1,5,5,3,1,5,2,3
Labradoodle,4,5,5,3,3,3,5,3,5,1,4,4,5,5,5,4,4,4,4,4,1,5,3,2,3,4,2,4,5,4,3
Labrador Retriever,3,5,5,4,4,1,5,5,5,3,5,5,5,5,5,3,3,5,5,5,5,5,5,2,5,4,4,2,3,3,3
Lagotto Romagnolo,3,3,4,2,3,2,3,1,3,2,1,4,4,4,3,4,4,3,4,2,2,4,3,4,3,2,3,3,4,3,3
Lakeland Terrier,3,4,4,3,3,4,5,2,3,1,2,2,5,4,3,5,3,4,4,4,1,4,3,4,3,2,2,2,4,4,3
Lancashire Heeler,3,3,4,3,3,2,4,3,3,1,4,3,4,3,2,4,2,3,4,4,2,4,4,2,3,1,2,3,3,3,4
Leonberger,2,4,4,4,3,1,5,5,3,3,4,2,4,4,2,1,1,4,3,4,4,4,4,4,4,5,3,2,5,1,2
Lhasa Apso,4,3,4,2,3,5,4,3,3,1,1,3,4,3,2,3,5,4,4,3,3,5,3,4,5,1,4,4,3,2,2
Lowchen,3,5,4,3,4,5,5,3,4,1,3,5,4,4,4,5,4,5,4,3,3,5,3,4,3,1,4,1,3,3,5
Maltese,3,4,3,2,3,5,5,2,4,1,2,4,3,2,2,3,5,3,4,3,3,4,3,4,4,1,2,1,1,3,1
Maltese Shih Tzu,3,3,3,2,4,5,4,1,3,1,2,4,3,3,3,2,5,3,3,2,4,3,3,5,3,1,4,3,2,2,1
Maltipoo,4,4,3,2,4,5,5,1,4,1,3,5,3,2,4,2,5,4,4,3,3,4,2,2,5,2,5,1,2,3,4
Manchester Terrier,3,3,4,3,3,5,4,3,3,1,5,2,4,4,3,2,3,3,4,4,2,4,4,4,3,2,4,3,1,3,4
